comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
Ugy52S1WuZQdiqhsvEJ4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@casonculver797,UCQl60WtHZpxCfQ4AOJqtgZw,Would have made a great  halftime show😫,39,7,False,,2,0,2026-02-10,19:40:16,Tuesday,19,True,False,False,0,0,7.218392463998267e-05,,,,,
UgxcA9IMualEAYDMbQd4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@corpseatl68,UC4I_tszIOdQ0VhBJvalc9Vw,GREENDAY PERFORMED NO WAY i literally just got into them in 2025,64,12,False,,1,0,2026-02-10,04:33:57,Tuesday,4,False,False,False,0,0,3.6091962319991336e-05,,,,,
Ugw1oPioM3DYvlpFB2N4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@MissOchreOwl,UCfEjgJgrE9vJ8yvha-_5qJA,"3:23 
The line, and then the face… perfect 😂👌",45,9,False,,0,0,2026-02-10,23:52:51,Tuesday,23,True,False,False,0,0,0.0,,,,,
UgyIYsRkfLoYgBKDpFB4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@noahwarren7194,UCsOB-eor7_7riH-D9t3-P6A,"Until the day comes when I have the opportunity to see them in person, this is the closest I'll get to seeing Green Day perform live",132,26,False,,0,0,2026-02-10,03:36:18,Tuesday,3,False,False,False,0,0,0.0,,,,,
UgzTYd_Kw_AujHUm8RN4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@LettersFromSuki,UCBoltE6ygpINwipPzZW9x1Q,Absolutely amazing,18,2,False,,1,0,2026-02-10,02:23:36,Tuesday,2,False,False,False,0,0,3.6091962319991336e-05,,,,,
UgxSPeo2C3-wgrawHn54AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@rosellaaltman3417,UCnt7OhBIZatkXsyFOEGntuA,And just like that I'm 18 again.😊,33,7,False,,1,0,2026-02-10,02:59:13,Tuesday,2,True,False,False,0,0,3.6091962319991336e-05,,,,,
Ugzp104fOixBWf9fXKt4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@365daystofit7,UCwulL08DXLw47clCvcePwKw,This would have been the perfect halftime performance,53,8,False,,1,0,2026-02-10,03:07:44,Tuesday,3,False,False,False,0,0,3.6091962319991336e-05,,,,,
Ugz20ze2f7UNbnniA-d4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Engineering-Ingeneria,UCzQSYQfw4yRW1lg-DyVWwTw,I actually love green day. But I've been so busy watching all the clips and videos from Bad Bunny's performance that I completely forgot to look this up. Love this band.,169,31,False,,1,0,2026-02-10,19:40:10,Tuesday,19,False,False,False,0,0,3.6091962319991336e-05,,,,,
UgwDCvYOyI5M6KAJXi94AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Drum3rboy14,UCpjt0WZ_sTDoQu8D3--RCCQ,hey they played the one dillinger 4 song nice,45,9,False,,0,0,2026-02-10,00:33:20,Tuesday,0,False,False,False,0,0,0.0,,,,,
Ugx3YaMlFlWVpF3wr2l4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@LouTheOddOne,UCX4J39ZCMqTwYS9xayrJqkw,fireeee,7,1,False,,2,0,2026-02-11,03:43:12,Wednesday,3,False,False,False,0,0,7.218392463998267e-05,,,,,
